"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Rückenstrecken (Maschine)",,"",1,"normal",105,15,,,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Laufband",,"",0,"normal",,,1.2,600,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Laufband",,"",1,"normal",,,0.6,300,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Brustpresse (Maschine)",,"",0,"warmup",80,15,,,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Brustpresse (Maschine)",,"",1,"normal",121,10,,,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Brustpresse (Maschine)",,"",2,"normal",121,8,,,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Brustpresse (Maschine)",,"",3,"normal",121,7,,,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Schräge Brustpresse (Maschine)",,"",0,"warmup",45,15,,,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Schräge Brustpresse (Maschine)",,"",1,"normal",75,10,,,
"Brust","16 Juli 2026, 16:15","16 Juli 2026, 17:47","","Schräge Brustpresse (Maschine)",,"",2,"normal",75,9,,,
